Player,Pos,Age,Tm,G,GS,MP,FG,FGA
Álex Abrines,SG,25,OKC,31,2,19.0,1.8,5.1
Quincy Acy,PF,28,PHO,10,0,12.3,0.4,1.8
Jaylen Adams,PG,22,ATL,34,1,12.6,1.1,3.2
Steven Adams,C,25,OKC,80,80,33.4,6.0,10.1
Bam Adebayo,C,21,MIA,82,28,23.3,3.4,5.9
Deng Adel,SF,21,CLE,19,3,10.2,0.6,1.9
DeVaughn Akoon-Purcell,SG,25,DEN,7,0,3.1,0.4,1.4
LaMarcus Aldridge,C,33,SAS,81,81,33.2,8.4,16.3
Rawle Alkins,SG,21,CHI,10,1,12.0,1.3,3.9
Grayson Allen,SG,23,UTA,38,2,10.9,1.8,4.7
Jarrett Allen,C,20,BRK,80,80,26.2,4.2,7.1
Kadeem Allen,PG,26,NYK,19,1,21.9,3.4,7.4
Al-Farouq Aminu,PF,28,POR,81,81,28.3,3.2,7.3
Justin Anderson,SF,25,ATL,48,4,9.6,1.3,3.3
Kyle Anderson,SF,25,MEM,43,40,29.8,3.5,6.4
Ryan Anderson,PF,30,TOT,25,8,12.9,0.8,2.8
Ryan Anderson,PF,30,PHO,15,8,18.5,1.3,4.0
Ryan Anderson,PF,30,MIA,10,0,4.4,0.2,0.9
Ike Anigbogu,C,20,IND,3,0,2.0,0.0,1.0
Giannis Antetokounmpo,PF,24,MIL,72,72,32.8,10.0,17.3
Kostas Antetokounmpo,PF,21,DAL,2,0,5.5,0.0,1.5
Carmelo Anthony,PF,34,HOU,10,2,29.4,4.9,12.1
OG Anunoby,SF,21,TOR,67,6,20.2,2.7,6.0
Ryan Arcidiacono,PG,24,CHI,81,32,24.2,2.3,5.2
Trevor Ariza,SF,33,TOT,69,69,34.0,4.3,10.7
Trevor Ariza,SF,33,PHO,26,26,34.0,3.3,8.7
Trevor Ariza,SF,33,WAS,43,43,34.1,4.8,11.8
D.J. Augustin,PG,31,ORL,81,81,28.0,3.9,8.4
Deandre Ayton,C,20,PHO,71,70,30.7,7.2,12.3
Dwayne Bacon,SG,23,CHO,43,13,17.7,2.8,6.0
Marvin Bagley III,PF,19,SAC,62,4,25.3,5.7,11.4
Ron Baker,SG,25,TOT,15,0,10.1,0.3,1.3
Ron Baker,SG,25,NYK,11,0,9.7,0.4,1.5
Ron Baker,SG,25,WAS,4,0,11.3,0.0,1.0
Wade Baldwin,PG,22,POR,16,0,5.9,0.6,2.1
